Source;Perplexity generated;PCGS;English Wikipedia;American Numismatic Association;NGC
MS70;"The coin demonstrates the absolute absence of signs of circulation, manufacturing defects and post-minted damage at a 5-fold magnification. Only microscopic features peculiar to the stamping process (""as minted"") are allowed, such as minor dents on the edge or minimal surface irregularities that do not violate visual integrity. For Proof coins, a mirror shine without hair lines is required, even under a 10x magnifying glass.";Fully struck and lustrous, free of visual marks. The PCGS 70 grading standard does allow for �as minted� defects, as long as those flaws are minor and do not impact the eye appeal of the coin.;"The ""perfect coin"", as minted. Has no trace of wear, handling, scratches or contact with other coins from a (5x) magnification. Coins in this grade are almost non-existent in older coins with very few examples known. Copper coins are bright with full original color and luster. Eye appeal is exceptional.";The perfect coin. Has very attractive sharp strike and original luster of the highest quality for the date and mint. No contact marks are visible under magnification. There are no noticeable hairlines, scuff marks, or defects. Eye appeal is attractive and outstanding. If copper, the coin is bright with full original color and luster.;
MS69;The only acceptable defects are 1-2 micro scratches with a length of < 0.5 mm located outside the focus areas (for example, on the rim or between the stars of the obverse). For Proof instances, barely noticeable hairlines are allowed, visible only at a certain lighting angle. Gold sovereigns in MS69 may have a faint minting at the tip of the scepter, but without losing the detail of the royal mantle.;Virtually fully struck with minuscule imperfections visible upon close inspection.;Coin has a sharp strike with full original luster, with no more than two small non-detracting contact marks or flaws. No hairlines or scuff marks are visible. Eye appeal is exceptional.;Has very attractive sharp strike and full original luster for the date and mint, with no more than two small non-detracting contact marks or flaws. �No hairlines or scuff marks can be seen. �Has exceptional eye appeal. If copper, the coin is bright, with original color and luster.;
MS68;Up to 3-4 contact marks with a diameter of < 1 mm, concentrated on the periphery. Minor elements may be poorly minted (for example, individual leaves in a wreath). Copper coins are characterized by retaining 95% of the original red color (RD). Proof coins may have a group of 2-3 micro scratches in the edge area that do not intersect the central symbols;Only the slightest weakness in strike with a few tiny imperfections barely visible.;Coin has a sharp strike with full original luster, with no more than four, lightly-scattered, contact marks or flaws. No hairlines or scuff marks show. Copper coins have lustrous original color. Eye appeal is exceptional.;Has attractive sharp strike and full original luster for the date and mint, with no more than four light scattered contact marks or flaws. �No hairlines or scuff marks show. �Has exceptional eye appeal. �If copper, the coin is lustrous and has original color.;
MS67;There are several noticeable scratches with a length of <2 mm on the field, but no defects in key areas (portrait, date, face value). Silver specimens retain 80-90% of their original luster. For coins of the Saint-Gaudens type, a weak study of the rays on the reverse side of the eagle's wings is acceptable. Proof versions may show slight voltage bands (striations) against the background;Very well struck with minor imperfections visible without magnification.;Coin has a sharp strike with full, original luster, May have three or four very small contact marks and a single, more noticeable, but not detracting mark. On comparable coins, one or two small single hairlines may show under (6x+) magnification, or one or two partially hidden scuff marks or flaws may be present. Eye appeal is exceptional. Copper coins have lustrous original color.;Has original luster and normal strike for date and mint. �May have three or four very small contact marks and one more noticeable but not detracting mark. �On comparable coins, one or two small single hairlines may show, or one or two minor scuff marks or flaws may be present. �Eye appeal is above average. �If copper, the coin has luster and original color;An MS 67 gold sovereign must have strong luster and strike but, considering the manner in which they were often stored, some bag marks and very light abrasions are still acceptable.
MS66;Groups of 5-7 small marks with a diameter of less than 0.3 mm or 1-2 deep scratches of less than 3 mm, located outside the focus areas. Partial gloss loss on 20-30% of the surface is acceptable. The bronze coins are characterized by a uniform patina formation without spots. Proof specimens may have local clusters of hairlines on the periphery of the reverse;Well struck with a few marks or hairlines, not in focal areas.;Coin has above average quality of strike and full original mint luster, with no more than two or three minor, but noticeable, contact marks. A few very light hairlines may show under (6x+) magnification, or there may be one or two light, scuff marks showing on frosted surfaces or in the field. The eye appeal must be above average and very pleasing for the date and originating mint. Copper coins display full original or lightly toned color.;Has above average quality of surface and mint luster, with no more than three or four minor or noticeable contact marks. �A few light hairlines may show under magnification, or there may be one or two light scuff marks showing. �Eye appeal is above average and very pleasing for the date and mint. �If copper, the coin displays original or lightly toned color (which must be designated).;At the MS 66 level, the luster and strike must still be strong. More abrasions are acceptable, however, even in the prime focal areas. An MS 66 must still have strong eye appeal, but it can have negative issues, such as luster grazes or bag marks.
MS65;A combination of 3-5 noticeable scratches with a length of 4 mm, including 1-2 in the central areas. For gold coins weighing �1 ounce, traces of bag marks on 40-50% of the surface are acceptable. Copper specimens with MS65 grade often have patches of brown patina occupying <25% of the obverse;Above average strike with minor marks or hairlines, mostly out of focal areas.;Coin shows an attractive high quality of luster and strike for the date and originating mint. A few, small, scattered, contact marks, or two larger marks may be present, and one or two small patches of hairlines may show under (5x+) magnification. Noticeable, light, scuff marks may show on the highest points of the design features. Overall quality is above average and eye appeal is very pleasing. Copper coins have full luster with original or darkened color.;Shows an attractive high quality of luster and strike for the date and mint. �May have a few small scattered contact marks, or two larger marks may be present. �One or two small patches of hairlines may show. �Noticeable light scuff marks may be seen on the high points of the design. �Overall quality is above average and eye appeal is very pleasing. �If copper, the coin has some attractive luster with original or darkened color, as designated.;MS 65 is commonly called Gem Uncirculated or simply Gem. An MS 65 sovereign must still have strong luster and strike, although more contact marks are permissible. The eye appeal must be good as well.
MS64;Multiple rough marks, including scratches �5 mm long, crossing minor design elements. It is allowed to lose 50-60% of the gloss and poorly chiseled key details (for example, wrinkles on the clothes of the portrait). Proof coins are characterized by obvious hairlines visible to the naked eye.;Average or better strike with scattered marks or hairlines, though none severe.;Coin has good, overall average luster and even strike for the type. Several small contact marks in groups, as well as one or two moderately heavy marks may be present. One or two small patches of hairlines may show under low, (3-4x) magnification. Noticeable, light, scuff marks or defects may be seen within the design or in the field. Attractive overall quality with a pleasing eye appeal. Copper coins may be slightly dull.;Has at least average luster and strike for the type. Several small contact marks in groups, as well as one or two moderately heavy marks may be present. �One or two small patches of hairlines may show. �Noticeable light scuff marks or defects might be seen within the design or in the field. �Overall quality is attractive, with a pleasing eye appeal. �If copper, the coin may be slightly dull. �Color should be designated.;At this level, a sovereign should still be attractive. While the luster may not be as strong as on a Gem coin, it should still be pleasing to the eye. Some slight strike weakness on the high points of the design is acceptable, as well as a more abraded appearance.
MS63;"5�10 noticeable contact marks up to 2 mm in diameter, with no more than 2 in focal areas (such as the cheek of a portrait); 2�4 scratches up to 4 mm long allowed; original luster preserved on 60�80% of the surface; strike is average or slightly weak, but all main details are distinguishable.";Average or slightly weak strike with moderate marks or hairlines.;Mint luster may be slightly impaired. Numerous small contact marks, and a few scattered, heavy marks may be seen. Small hairlines are visible without magnification. Several detracting scuff marks or defects may be present throughout the design or in the fields. The general quality is average, but overall, the coin is rather attractive. Copper pieces may be darkened or dull.;Mint luster may be slightly impaired. �Numerous small contact marks and a few scattered heavy marks may be seen. �Small hairlines maybe visible without magnification. �Several detracting scuff marks or defects may be present throughout the design or in the fields. �The general quality is about average, but overall, the coin is rather attractive. �Copper pieces may be darkened or dull. �Color should be designated.;At this level, the luster becomes further muted because of the soft nature of gold and the fact that these coins generally were stored in bags for decades. This storage also resulted in more contact marks. The strike may or may not be weak. By this level, it is usually the luster, contact marks or lack of eye appeal that lower the grade.
MS62;"10�15 contact marks up to 2 mm in diameter, 3�5 scratches up to 5 mm long permitted, including in focal areas; original luster present on 50�70% of the surface; strike may be weak, but the design remains fully outlined.";No wear, with average or below average strike. Numerous marks or hairlines.;Impaired or dull luster may be evident. Clusters of small marks may be present throughout with a few large marks or bag nicks in prime focal areas. Hairlines may be very noticeable. Large unattractive scuff-marks might be seen on major features. The strike, rim and planchet quality may be noticeably below average. Overall eye-appeal is generally acceptable. Copper coins will show a diminished color and tone.;An impaired or dull luster may be evident. �Clusters of small marks may be present throughout with a few large marks or nicks in prime focal areas. �Hairlines may be very noticeable. �Large unattractive scuff marks might be seen on major feature. �The strike, rim, and planchet quality may be noticeably below average. �Overall eye appeal is below average. �If copper, the coin will show a diminished color and tone.;In MS 62, a sovereign will really begin to show a loss of luster due to contact marks and abrasions from years of mishandling in bags. Because of these abrasions, the eye appeal will also suffer.
MS61;"15�20 contact marks up to 2.5 mm in diameter, 5�7 scratches up to 6 mm long, including in focal areas; original luster preserved on 40�60% of the surface; strike may be weak or uneven, but the entire design is readable.";No wear, with average or weak strike. Multiple heavy marks or hairlines allowed.;Mint luster may be diminished or noticeably impaired, and the surface has clusters of small contact marks throughout. Hairlines could be very noticeable. Scuff-marks may show as unattractive patches on large areas or major features. Small rim nicks, striking or planchet defects may show, and the quality may be noticeably poor. Eye appeal is unattractive. Copper pieces will be generally dull, dark and possibly spotted.;Mint luster may be diminished or noticeably impaired, and the surface may have clusters of large ands mall contact marks throughout. �Hairlines could be very noticeable. �Scuff marks may show as unattractive patches on large areas or major features. �Small rim nicks and striking or planchet defects may show, and the quality may be noticeably poor. �Eye appeal is somewhat unattractive. �Copper pieces will be generally dull, dark, and possibly spotted.;In MS 61, the luster becomes even more impaired and there are heavy abrasions on the surfaces, which affect the eye appeal.
